EVENT_ID,CZ_NAME_STR,BEGIN_DATETIME,END_DATETIME,BEGIN_LOCATION,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE
1074279,FRANKLIN CO.,2023-01-03 10:48:00,2023-01-03 10:50:00,PLEASANT GROVE,Tornado, ,EF1,0,0,0,0,AL,CST-6, ,175314,C,59,HUN,0,0,NWS Storm Survey, ,0.6,70,3,SE,3,SE,PLEASANT GROVE,34.5382,-87.8899,34.5439,-87.8821,"A tornado touched down just west of Shady Grove Road. Damage to a small farm outbuilding and snapped cedar trees were observed. The tornado quickly moved through a residential farm and damaged the roof of a couple farm outbuildings, snapped more large branches, and downed more trees. The owner of the property managed to safely seek shelter in his tractor as the tornado quickly passed. More tree damage was noted to the northeast of the Shady Grove Road farm before it produced minor roof damage to chicken houses and a mobile home. The tornado appeared to have lifted near this location. Maximum winds were estimated at 88 mph, using snapped cedar trees as a damage indicator.","A quasi-linear convective system progressed east through north Alabama and southern middle Tennessee from the late morning through the middle afternoon hours.  A supercell within the line produced an EF-1 tornado in Franklin County northwest of Russellville. Damaging winds were reported at times along this line, knocking down trees, power lines, and producing damage to some homes.  A second area of thunderstorms arrived during the mid to late evening hours in northwest Alabama, producing excessive rainfall and flooding in the Florence area."
1074247,MARENGO CO.,2023-01-03 11:21:00,2023-01-03 11:29:00,OLD SPRING HILL,Tornado, ,EF1,0,0,0,0,AL,CST-6, ,176804,C,91,BMX,0,0,NWS Storm Survey, ,5.88,275,1,SW,3,WNW,ALLENVILLE,32.4151,-87.7827,32.481,-87.719,"National Weather Service meteorologists surveyed damage in northern Marengo County and determined that it was consistent with an EF1 tornado, with maximum winds near 90 mph. The tornado began just southwest of the intersection of Highway 43 and Osprey Drive where a cluster of trees were uprooted and snapped. The tornado tracked northeastward with an area of maximum damage along Highway 54 where numerous hardwood trees were uprooted and snapped. Metal roofing panels were also lofted into trees. Minimal  damage mainly to vegetation occurred along the remainder of the path. The tornado crossed into Hale County about one-half mile west of Highway 69.","A long-duration severe weather event occurred from the late morning hours of Tuesday, January 3rd to the early morning hours of Wednesday, January 4th. Several rounds of rain and thunderstorms impacted Central Alabama, producing tornadoes, damaging straight-line winds, quarter size hail, and flooding."
1074249,HALE CO.,2023-01-03 11:29:00,2023-01-03 11:33:00,GALLION,Tornado, ,EF0,0,0,0,0,AL,CST-6, ,176804,C,65,BMX,0,0,NWS Storm Survey, ,2.96,195,2,SW,1,ESE,PRAIRIEVILLE,32.481,-87.719,32.5108,-87.6826,"National Weather Service meteorologists surveyed damage in southwest Hale County and determined that it was consistent with an EF0 tornado, with maximum winds near 73 mph. This tornado originated in Marengo County and crossed into southwest Hale County about one-half mile west of Highway 69.  A few softwood trees were uprooted near the county line as the tornado tracked northeast and crossed Highway 69. Beyond that, the visible damage was mostly broken tree branches as the tornado crossed Highway 80 and lifted.","A long-duration severe weather event occurred from the late morning hours of Tuesday, January 3rd to the early morning hours of Wednesday, January 4th. Several rounds of rain and thunderstorms impacted Central Alabama, producing tornadoes, damaging straight-line winds, quarter size hail, and flooding."
1074259,PERRY CO.,2023-01-03 12:10:00,2023-01-03 12:11:00,FOLSOM,Tornado, ,EF1,0,0,0,0,AL,CST-6, ,176804,C,105,BMX,0,0,NWS Storm Survey, ,0.15,100,3,E,3,E,FOLSOM,32.6835,-87.3491,32.6848,-87.3469,"National Weather Service meteorologists surveyed damage in northern Perry County and determined that it was consistent with an EF1 tornado, with maximum winds near 95 mph.  This short-lived tornado developed and dissipated quickly near Coretta Scott King Highway.  A manufactured home was shifted off its block foundation with a large section of roofing material removed from the back side of the home. Two homeowners were present during the time of impact and were tossed onto the floor. Thankfully, there were no injuries. Metal panels were lofted into trees on either side of the highway and a few trees were uprooted and snapped.","A long-duration severe weather event occurred from the late morning hours of Tuesday, January 3rd to the early morning hours of Wednesday, January 4th. Several rounds of rain and thunderstorms impacted Central Alabama, producing tornadoes, damaging straight-line winds, quarter size hail, and flooding."
1074270,BIBB CO.,2023-01-03 12:41:00,2023-01-03 12:45:00,ACTIVE,Tornado, ,EF0,0,0,0,0,AL,CST-6, ,176804,C,7,BMX,0,0,NWS Storm Survey, ,2.82,100,5,WSW,2,W,ACTIVE,32.8493,-87.0548,32.8737,-87.0158,"National Weather Service meteorologists surveyed damage in far southern Bibb County and determined that it was consistent with an EF0 tornado, with maximum winds near 70 mph. The tornado touched down southwest of Liberty Road where several large hard and softwood trees where uprooted.  This was mainly in rural and inaccessible wooded and pasture lands.  The tornado continued northeast and crossed near the intersection of County Road 19 and County Road 29, where substantial tree debris was noted. The tornado dissipated near County Road 423.","A long-duration severe weather event occurred from the late morning hours of Tuesday, January 3rd to the early morning hours of Wednesday, January 4th. Several rounds of rain and thunderstorms impacted Central Alabama, producing tornadoes, damaging straight-line winds, quarter size hail, and flooding."
1074280,AUTAUGA CO.,2023-01-03 13:18:00,2023-01-03 13:26:00,POSEYS XRDS,Tornado, ,EF0,0,0,0,0,AL,CST-6, ,176804,C,1,BMX,0,0,NWS Storm Survey, ,3.18,60,2,WSW,1,NE,POSEYS XRDS,32.5609,-86.5972,32.5841,-86.5506,"National Weather Service meteorologists surveyed damage in central Autauga County and determined that it was consistent with an EF0 tornado, with maximum winds near 75 mph.  The tornado touched down along County Road 21 about one mile south of County Road 40 where a few softwood trees were uprooted. The tornado tracked northeast and crossed County Road 40, where damage occurred to a few manufactured homes, including a porch being torn off and some pieces of metal peeled back. A metal parking structure was also tossed downwind. The tornado dissipated near the intersection of County Road 57 and Criddle Road.","A long-duration severe weather event occurred from the late morning hours of Tuesday, January 3rd to the early morning hours of Wednesday, January 4th. Several rounds of rain and thunderstorms impacted Central Alabama, producing tornadoes, damaging straight-line winds, quarter size hail, and flooding."
1074284,CHILTON CO.,2023-01-03 13:39:00,2023-01-03 13:40:00,CLANTON WARE IS ARPT,Tornado, ,EF1,0,0,0,0,AL,CST-6, ,176804,C,21,BMX,0,0,NWS Storm Survey, ,0.75,250,3,N,3,N,CLANTON WARE IS ARPT,32.988,-86.5264,32.993,-86.515,"National Weather Service meteorologists surveyed damage in eastern Chilton County and determined that it was consistent with an EF1 tornado, with maximum winds near 90 mph.  The tornado touched down just west of County Road 190 on the Chilton County side of the Coosa River. Several dozen softwood and hardwood trees were snapped or uprooted.  In addition several homes and boat houses sustained roof and siding damage, mainly along County Road 192. The tornado then crossed the Coosa River and into Coosa County.","A long-duration severe weather event occurred from the late morning hours of Tuesday, January 3rd to the early morning hours of Wednesday, January 4th. Several rounds of rain and thunderstorms impacted Central Alabama, producing tornadoes, damaging straight-line winds, quarter size hail, and flooding."
1074293,COOSA CO.,2023-01-03 13:40:00,2023-01-03 13:43:00,MARBLE VLY,Tornado, ,EF0,0,0,0,0,AL,CST-6, ,176804,C,37,BMX,0,0,NWS Storm Survey, ,1.71,150,5,SW,4,SW,MARBLE VLY,32.993,-86.515,33.0059,-86.4899,"National Weather Service meteorologists surveyed damage in far western Coosa County and determined that it was consistent with an EF0 tornado, with maximum winds near 75 mph.  This tornado originated in Chilton County just west of the Coosa River and crossed into Coosa County where some tree damage was noted on County Road 5 and Hidden Valley Drive. The tornado dissipated near the intersection of County Road 5 and Pelican Road.","A long-duration severe weather event occurred from the late morning hours of Tuesday, January 3rd to the early morning hours of Wednesday, January 4th. Several rounds of rain and thunderstorms impacted Central Alabama, producing tornadoes, damaging straight-line winds, quarter size hail, and flooding."
1074300,ELMORE CO.,2023-01-03 13:42:00,2023-01-03 13:59:00,DEATSVILLE,Tornado, ,EF2,0,0,0,0,AL,CST-6, ,176804,C,51,BMX,0,0,NWS Storm Survey, ,9.06,800,1,WNW,2,S,BUYCK,32.6239,-86.4098,32.6747,-86.2678,"National Weather Service meteorologists surveyed damage in western Elmore County and determined that it was consistent with an EF2 tornado, with maximum winds near 120 mph. The tornado began in a wooded area near the Autauga/Elmore County line, with snapped tree tops observed west of Highway 143. It tracked northeastward and began to intensify as it reached Coosa River Road and Foreman Road, where multiple hardwood trees were uprooted, a barn was damaged, and minor shingle damage occurred to residences. It continued to uproot trees, damage outbuildings, and remove shingles from homes as it crossed Highway 111 near Chase Drive and Toad Road. More hardwood trees were uprooted along Shady Nook Drive before it began to cross the Shoal Creek inlet of Jordan Lake. It remained over the lake for a little while and uprooted trees near the Lightwood Road bridge, some of which fell on residences. The tornado reached its maximum intensity as it reached the northeast side of Jordan Lake. Multiple residences on Circle Drive suffered roof damage with much of the roof removed from one residence. Many hardwood trees were snapped and some boathouses were destroyed. The tornado continued to move along the northeast shore of the lake uprooting trees, some of which fell on residences, and caused roof damage. Dozens of residences suffered varying levels of damage. The tornado exited the lake near Joe's Fish Camp Road, where several hardwood trees were uprooted. The tornado became progressively weaker while continuing to uproot a few trees, eventually dissipating northeast of Titus Road prior to reaching Highway 231.","A long-duration severe weather event occurred from the late morning hours of Tuesday, January 3rd to the early morning hours of Wednesday, January 4th. Several rounds of rain and thunderstorms impacted Central Alabama, producing tornadoes, damaging straight-line winds, quarter size hail, and flooding."
1074303,CLAY CO.,2023-01-03 14:31:00,2023-01-03 14:45:00,GAGE,Tornado, ,EF0,0,0,0,0,AL,CST-6, ,176804,C,27,BMX,0,0,NWS Storm Survey, ,6.41,300,4,W,4,NNE,GAGE,33.235,-86.0693,33.2769,-85.9707,"National Weather Service meteorologists surveyed damage in southwest Clay County and determined that it was consistent with an EF0 tornado, with maximum winds near 85 mph. The tornado touched down along the eastern slopes of Horne Mountain in the Talladega National Forest. Most of the timber damage was uprooted softwood trees in the National Forest along forest roads , but there were also some uprooted along Horns Valley Road and County Roads 7 and 18, with one tree falling on a barn. A few more softwood trees were uprooted along Highway 77 near Antioch Road, before the tornado quickly dissipated.","A long-duration severe weather event occurred from the late morning hours of Tuesday, January 3rd to the early morning hours of Wednesday, January 4th. Several rounds of rain and thunderstorms impacted Central Alabama, producing tornadoes, damaging straight-line winds, quarter size hail, and flooding."
